ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
101.81.227.jda,2017-05-14,00:00:00,0.0,21175.0,0000950137-08-002701,-index.htm,200.0,13940.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,34903.0,0001193125-08-039905,-index.htm,200.0,9672.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,27904.0,0001445305-12-002271,-index.htm,200.0,11779.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1105184.0,0000950123-11-039710,-index.htm,200.0,7827.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1308547.0,0001193125-10-099443,-index.htm,200.0,7516.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,27904.0,0000027904-15-000013,-index.htm,200.0,12816.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1305294.0,0001193125-16-662243,-index.htm,200.0,10753.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1038222.0,0001038222-10-000032,-index.htm,200.0,8130.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,21175.0,0000021175-00-000021,-index.html,200.0,8224.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1105184.0,0001193125-14-186239,-index.htm,200.0,10989.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1156039.0,0001193125-12-313785,-index.htm,200.0,11123.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1038222.0,0001193125-14-174826,-index.htm,200.0,10733.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1156039.0,0001156039-15-000014,-index.htm,200.0,11111.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1368458.0,0001047469-09-010313,-index.htm,200.0,11779.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1057058.0,0000950123-12-002148,-index.htm,200.0,13412.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1341439.0,0001193125-06-151154,-index.htm,200.0,8673.0,1.0,0.0,0.0,10.0,0.0,
101.81.227.jda,2017-05-14,00:00:00,0.0,1308547.0,0001193125-07-020271,-index.htm,200.0,7516.0,1.0,0.0,0.0,10.0,0.0,
107.20.31.bic,2017-05-14,00:00:00,0.0,808326.0,0001104659-14-086158,.hdr.sgml,200.0,1182.0,0.0,0.0,0.0,10.0,0.0,
107.20.31.bic,2017-05-14,00:00:00,0.0,859163.0,0000859163-07-000098,.txt,200.0,2341.0,0.0,0.0,0.0,10.0,0.0,
107.22.69.efc,2017-05-14,00:00:00,0.0,874977.0,0000874977-08-000040,.txt,200.0,2748.0,0.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-05-14,00:00:00,0.0,1021913.0,0000950136-04-001782,-index.htm,200.0,2753.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-05-14,00:00:00,0.0,1021913.0,0000950136-04-002029,-index.htm,200.0,2751.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-05-14,00:00:00,0.0,1021913.0,0000950136-04-002142,-index.htm,200.0,2753.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-05-14,00:00:00,0.0,1021913.0,0001193125-04-113087,-index.htm,200.0,2814.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-05-14,00:00:00,0.0,1021913.0,0001193125-04-113643,-index.htm,200.0,2792.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-05-14,00:00:00,0.0,1021913.0,0001193125-04-113651,-index.htm,200.0,2790.0,1.0,0.0,0.0,10.0,0.0,
109.226.212.jbh,2017-05-14,00:00:00,0.0,740766.0,0000740766-16-000036,-index.htm,200.0,33579.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-05-14,00:00:00,0.0,875296.0,0001628280-17-001384,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
115.111.60.idd,2017-05-14,00:00:00,0.0,1475841.0,0001558370-17-001023,-index.htm,301.0,289.0,1.0,0.0,1.0,10.0,0.0,
115.111.60.idd,2017-05-14,00:00:00,0.0,875296.0,0001628280-17-001384,-index.htm,200.0,14235.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-05-14,00:00:00,0.0,1475841.0,0001558370-17-001023,-index.htm,200.0,14150.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003217,-index.htm,200.0,7681.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003244,-index.htm,200.0,7681.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003215,-index.htm,200.0,7366.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,719739.0,0001562180-17-001760,-index.htm,200.0,7528.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,723125.0,0000723125-17-000055,-index.htm,200.0,7655.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,722830.0,0001558370-17-004122,-index.htm,200.0,11951.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,721447.0,0000721447-17-000017,-index.htm,200.0,7983.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003244,-index.htm,200.0,7681.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003217,-index.htm,200.0,7681.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,84246.0,0001127602-17-017232,-index.htm,200.0,7500.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003255,-index.htm,200.0,7366.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,312070.0,0000950103-17-004560,-index.htm,200.0,7765.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,75252.0,0000075252-17-000075,-index.htm,200.0,7328.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003244,-index.htm,200.0,7681.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,1114446.0,0001114446-17-003215,-index.htm,200.0,7366.0,1.0,0.0,0.0,10.0,0.0,
117.91.5.igh,2017-05-14,00:00:00,0.0,723603.0,0001404058-17-000025,-index.htm,200.0,7511.0,1.0,0.0,0.0,10.0,0.0,
12.111.38.djf,2017-05-14,00:00:00,0.0,731766.0,0000731766-16-000058,R6.htm,200.0,5792.0,0.0,0.0,0.0,8.0,0.0,
120.26.129.fhc,2017-05-14,00:00:00,0.0,1108524.0,0001127602-17-018011,-index.htm,206.0,2842.0,1.0,0.0,0.0,10.0,0.0,
120.26.129.fhc,2017-05-14,00:00:00,0.0,1108524.0,0001127602-17-018011,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
121.40.161.haf,2017-05-14,00:00:00,0.0,1037868.0,0001127602-17-017698,-index.htm,206.0,2857.0,1.0,0.0,0.0,10.0,0.0,
121.40.161.haf,2017-05-14,00:00:00,0.0,1037868.0,0001127602-17-017698,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
121.40.65.ebc,2017-05-14,00:00:00,0.0,105319.0,0001193125-17-165597,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
121.40.65.ebc,2017-05-14,00:00:00,0.0,1571329.0,0001144204-17-026245,-index.htm,206.0,2644.0,1.0,0.0,0.0,10.0,0.0,
121.40.65.ebc,2017-05-14,00:00:00,0.0,1571329.0,0001144204-17-026245,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
121.40.65.ebc,2017-05-14,00:00:00,0.0,105319.0,0001193125-17-165597,-index.htm,206.0,3357.0,1.0,0.0,0.0,10.0,0.0,
121.40.66.aie,2017-05-14,00:00:00,0.0,701347.0,0001127602-17-017804,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
121.40.66.aie,2017-05-14,00:00:00,0.0,701347.0,0001127602-17-017804,-index.htm,206.0,2912.0,1.0,0.0,0.0,10.0,0.0,
121.40.66.bch,2017-05-14,00:00:00,0.0,1082923.0,0001140361-17-019328,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
121.40.66.bch,2017-05-14,00:00:00,0.0,1082923.0,0001140361-17-019328,-index.htm,206.0,3257.0,1.0,0.0,0.0,10.0,0.0,
121.40.85.fbb,2017-05-14,00:00:00,0.0,1518621.0,0001193125-17-166110,-index.htm,206.0,2771.0,1.0,0.0,0.0,10.0,0.0,
121.40.85.fbb,2017-05-14,00:00:00,0.0,1518621.0,0001193125-17-166110,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
123.126.113.jgj,2017-05-14,00:00:00,0.0,312070.0,0001193125-12-067650,.txt,200.0,894301.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-05-14,00:00:00,0.0,868271.0,0000868271-08-000026,.txt,200.0,31733.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-05-14,00:00:00,0.0,868271.0,0000868271-08-000026,.txt,301.0,638.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-05-14,00:00:00,0.0,868271.0,0000868271-08-000026,exhibit991.htm,200.0,9486.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-05-14,00:00:00,0.0,867840.0,0001144204-08-048220,v124097_8k.htm,301.0,658.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-05-14,00:00:00,0.0,868271.0,0000868271-08-000026,exhibit991.htm,301.0,653.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-05-14,00:00:00,0.0,867840.0,0001144204-08-048220,v124097_8k.htm,200.0,30568.0,0.0,0.0,0.0,10.0,0.0,
130.154.0.ccg,2017-05-14,00:00:00,0.0,947559.0,0001144204-17-015030,.hdr.sgml,200.0,1229.0,0.0,0.0,0.0,10.0,0.0,
130.75.144.fbd,2017-05-14,00:00:00,0.0,1207269.0,0001144204-14-035634,.txt,200.0,20953.0,0.0,0.0,0.0,10.0,0.0,
130.75.144.fbd,2017-05-14,00:00:00,0.0,1204666.0,0001225208-14-014491,.txt,200.0,13009.0,0.0,0.0,0.0,10.0,0.0,
132.194.166.gfa,2017-05-14,00:00:00,0.0,1041577.0,0001171843-13-002907,.txt,200.0,2525797.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex21_1.htm,200.0,19767.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,form10-k.htm,200.0,2339449.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex95.htm,200.0,22241.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-021578,form8k.htm,200.0,22500.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex10_22.htm,200.0,9078.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-021578,ex99_1.htm,200.0,317607.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex31_2.htm,200.0,14828.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex31_1.htm,200.0,14665.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex32.htm,200.0,8182.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex10_37.htm,200.0,5005.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-005969,ex99_1.htm,200.0,460725.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex12_1.htm,200.0,34395.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex10_23.htm,200.0,9358.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-021756,form10q.htm,200.0,777801.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-021756,ex10_3.htm,200.0,71805.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-010153,ex23_1.htm,200.0,3657.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-021756,ex10_1.htm,200.0,50013.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-008040,doc1.htm,200.0,114448.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-005969,form8k.htm,200.0,22615.0,0.0,0.0,0.0,10.0,0.0,
137.117.80.hie,2017-05-14,00:00:00,0.0,1227654.0,0001140361-12-021756,ex10_2.htm,200.0,17916.0,0.0,0.0,0.0,10.0,0.0,
138.19.163.aca,2017-05-14,00:00:00,0.0,1007385.0,0000950123-10-012812,-index.htm,301.0,678.0,1.0,0.0,0.0,10.0,0.0,
158.132.91.haf,2017-05-14,00:00:00,0.0,1341644.0,0001014108-05-000297,.txt,200.0,2079.0,0.0,0.0,0.0,10.0,0.0,
158.132.91.haf,2017-05-14,00:00:00,0.0,1341644.0,0001014108-05-000297,.txt,301.0,644.0,0.0,0.0,0.0,10.0,0.0,
17.142.156.iee,2017-05-14,00:00:00,0.0,820330.0,0001005477-07-001470,.txt,200.0,5266.0,0.0,0.0,0.0,10.0,0.0,
17.142.156.iee,2017-05-14,00:00:00,0.0,820330.0,0001005477-07-001470,.txt,301.0,670.0,0.0,0.0,0.0,10.0,0.0,
172.250.17.bji,2017-05-14,00:00:00,0.0,1018840.0,0001225208-11-010598,-index.htm,301.0,652.0,1.0,0.0,0.0,10.0,0.0,
172.250.17.bji,2017-05-14,00:00:00,0.0,1018840.0,0001225208-11-010260,-index.htm,301.0,652.0,1.0,0.0,0.0,10.0,0.0,
172.250.17.bji,2017-05-14,00:00:00,0.0,1018840.0,0000950123-11-030172,-index.htm,301.0,653.0,1.0,0.0,0.0,10.0,0.0,
172.250.17.bji,2017-05-14,00:00:00,0.0,1018840.0,0000950123-11-030172,-index.htm,200.0,3376.0,1.0,0.0,0.0,10.0,0.0,
172.250.17.bji,2017-05-14,00:00:00,0.0,1018840.0,0001225208-11-010598,-index.htm,200.0,2785.0,1.0,0.0,0.0,10.0,0.0,
172.250.17.bji,2017-05-14,00:00:00,0.0,1018840.0,0001225208-11-010260,-index.htm,200.0,2771.0,1.0,0.0,0.0,10.0,0.0,
192.40.23.fhc,2017-05-14,00:00:00,0.0,1114697.0,0001171200-10-000831,i00380_nq.htm,200.0,311593.0,0.0,0.0,0.0,10.0,0.0,
192.40.23.fhc,2017-05-14,00:00:00,0.0,1114697.0,0001171200-10-000831,-index.html,200.0,8280.0,1.0,0.0,0.0,10.0,0.0,
198.199.84.bfb,2017-05-14,00:00:00,0.0,1627223.0,0001627223-17-000040,primary_doc.xml,200.0,6009.0,0.0,0.0,0.0,10.0,0.0,
198.199.84.bfb,2017-05-14,00:00:00,0.0,1645201.0,0001627223-17-000040,-index.htm,200.0,7611.0,1.0,0.0,0.0,10.0,0.0,
198.199.84.bfb,2017-05-14,00:00:00,0.0,1627223.0,0001627223-17-000040,primary_doc.xml,301.0,657.0,0.0,0.0,0.0,10.0,0.0,
198.199.84.bfb,2017-05-14,00:00:00,0.0,1645201.0,0001627223-17-000040,-index.htm,301.0,677.0,1.0,0.0,0.0,10.0,0.0,
207.46.13.hdj,2017-05-14,00:00:00,0.0,1279831.0,0001144204-06-003144,v034090_424b3.htm,200.0,172552.0,0.0,0.0,0.0,10.0,0.0,
207.46.13.hdj,2017-05-14,00:00:00,0.0,1058090.0,0001193125-07-110117,filename1.htm,301.0,661.0,0.0,0.0,0.0,10.0,0.0,
208.79.49.fdb,2017-05-14,00:00:00,0.0,1465643.0,0001576429-14-000002,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
208.79.49.fdb,2017-05-14,00:00:00,0.0,1465643.0,0001576429-14-000002,-index.htm,503.0,38949.0,1.0,0.0,0.0,10.0,0.0,
208.79.49.fdb,2017-05-14,00:00:00,0.0,1465643.0,0001576429-14-000002,-index.htm,503.0,0.0,1.0,0.0,0.0,10.0,0.0,
208.79.49.fdb,2017-05-14,00:00:00,0.0,1465643.0,0001576429-14-000002,-index.htm,503.0,38949.0,1.0,0.0,0.0,10.0,0.0,
208.79.49.fdb,2017-05-14,00:00:00,0.0,1465643.0,0001576429-14-000002,-index.htm,503.0,0.0,1.0,0.0,0.0,10.0,0.0,
209.237.237.hjf,2017-05-14,00:00:00,0.0,1354457.0,0001354457-17-000092,-index.htm,200.0,8344.0,1.0,0.0,0.0,10.0,0.0,
209.249.190.hbc,2017-05-14,00:00:00,0.0,816284.0,0001209191-17-029190,.txt,200.0,10074.0,0.0,0.0,0.0,10.0,0.0,
209.249.190.hbc,2017-05-14,00:00:00,0.0,816284.0,0001209191-17-029191,.txt,200.0,8868.0,0.0,0.0,0.0,10.0,0.0,
209.249.190.hbc,2017-05-14,00:00:00,0.0,816284.0,0001209191-17-029193,.txt,200.0,8832.0,0.0,0.0,0.0,10.0,0.0,
210.13.73.jic,2017-05-14,00:00:00,0.0,89800.0,0001193125-12-075061,.txt,200.0,24562440.0,0.0,0.0,0.0,10.0,0.0,
217.182.132.caf,2017-05-14,00:00:00,0.0,78890.0,0001209191-15-060645,doc4.xml,200.0,1820.0,0.0,0.0,0.0,10.0,0.0,
217.182.132.dad,2017-05-14,00:00:00,0.0,1022596.0,0001181431-07-041473,-index.htm,200.0,2834.0,1.0,0.0,0.0,10.0,0.0,
220.181.108.cib,2017-05-14,00:00:00,0.0,910073.0,0001225208-16-028652,-index.htm,200.0,7558.0,1.0,0.0,0.0,10.0,0.0,
23.101.155.cej,2017-05-14,00:00:00,0.0,1002037.0,0001437749-17-000649,ex99-1.htm,200.0,11549.0,0.0,0.0,0.0,10.0,0.0,
31.210.135.bhf,2017-05-14,00:00:00,0.0,317477.0,0001144204-08-069458,-index.html,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
31.210.135.bhf,2017-05-14,00:00:00,0.0,318306.0,0000318306-08-000060,.hdr.sgml,200.0,1052.0,0.0,0.0,0.0,10.0,0.0,
31.210.135.bhf,2017-05-14,00:00:00,0.0,317477.0,0001144204-08-069458,-index.html,200.0,2741.0,1.0,0.0,0.0,10.0,0.0,
31.210.135.bhf,2017-05-14,00:00:00,0.0,319126.0,0001157523-08-008030,.hdr.sgml,301.0,679.0,0.0,0.0,0.0,10.0,0.0,
31.210.135.bhf,2017-05-14,00:00:00,0.0,318306.0,0000318306-08-000060,.hdr.sgml,301.0,674.0,0.0,0.0,0.0,10.0,0.0,
35.184.104.eca,2017-05-14,00:00:00,0.0,1605809.0,0001596532-17-000099,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
38.104.253.cac,2017-05-14,00:00:00,0.0,1426754.0,0001606587-17-000333,-index.htm,200.0,7589.0,1.0,0.0,0.0,10.0,0.0,
38.104.253.cac,2017-05-14,00:00:00,0.0,1426754.0,0001606587-17-000333,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
38.140.198.fdh,2017-05-14,00:00:00,0.0,76267.0,0001437749-17-008941,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
